Date dd/mm/yyyy,Startup Name,Industry Vertical,Location,Investors Name,InvestmentnType,Amount in USD
22/11/2018,Skillbox,Social Network,Gurugram,Individual investors,Seed Funding,0.0
23/11/2018,Signzy,Financial Tech,Multiple Cities,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,15.03928598958639
24/11/2018,Engineer.ai,Software,Multiple Cities,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,17.19990082131005
25/11/2018,InCred Finance,Finance,India,"Paragon Partners, Individual Investors",Private Equity,17.553180176247643
25/11/2018,Roposo,Social Media,Delhi,Bertelsmann India Investments,Series B,14.346138809026444
01/10/2018,Northmist,Fashion,Delhi,Prashant Jaiswal,Seed/ Angel Funding,0.0
02/10/2018,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,16.213405830762646
04/10/2018,Grover Zampa,Food,Mumbai,Ravi Viswanathan,Private Equity,15.919644712234481
05/10/2018,Droom,Automobile,Gurgaon,ZigExN,Series E,14.914122846632385
11/10/2018,Innov8,Real Estate,New Delhi,Credence Family Office,Pre-Series A,15.201804919084164
12/10/2018,Blackbuck,Logistics Tech,Bengaluru,Sequoia Capital India,Private Funding,16.501996581150642
12/10/2018,LetsTransport,Logistics Tech,Bengaluru,Fosun International,Series C,16.300417207752275
01/09/2018,Netmeds,Consumer Internet,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,17.37085861945369
03/09/2018,Udaan,B2B Platform,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,19.231610960168695
03/09/2018,Daily hunt,Consumer Internet,Bengaluru,Falcon Edge,Private Equity,15.670244826353718
04/09/2018,3HCare,Healthcare,Delhi,Unknown,Seed / Angel Funding,13.815510557964274
04/09/2018,HappyGoEasy,Consumer Internet,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,0.0
05/09/2018,Nykaa,Consumer Internet,Mumbai,Lighthouse,Private Equity,18.87302943795938
05/09/2018,Mad Street Den,Technology,Chennai,KDDI\\xc2\\xa0,Private Equity,0.0
06/09/2018,Dream11,Consumer Internet,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,18.420680743952367
10/09/2018,MamaEarth,Healthcare,Gurugram,Stellaris Ventures & Others,Private Equity,15.201804919084164
11/09/2018,AutoGrid,Technology,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,17.281246460764002
11/09/2018,Pharmeasy,Consumer Internet,Mumbai,InnoVen Capital,Debt Funding,15.520258650202699
11/09/2018,Upwards,Fin-Tech,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,15.424948470398375
12/09/2018,Kissht,Fin-Tech,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,17.216707939626428
01/08/2018,dishq,Food-Tech,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,12.89921982609012
01/08/2018,HealthFin,Finance,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,0.0
02/08/2018,Samosa Labs,Consumer Internet,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,15.761420707019587
03/08/2018,ZiffyHomes,Consumer Internet,Gurugram,Y Combinator,Private Equity,11.695247021764184
07/08/2018,My OmNamo,Consumer Internet,Mumbai,Unknown,Seed/ Angel Funding,13.815510557964274
